"original","country","type","idREZE","department","apYear","apSerie","apID","date","journal"
"Togo, NAT, 2021X 006140, 074","Togo","NAT","2021X006140",74,"2021X","006","140",2021-08-05,"0180"
"Maroc, NAT, 2021X 005225, 092","Maroc","NAT","2021X005225",92,"2021X","005","225",2021-08-05,"0180"
"Afghanistan, NAT, 2020X 034233, 058","Afghanistan","NAT","2020X034233",58,"2020X","034","233",2021-08-05,"0180"
"Afghanistan, NAT, 2020X 034234, 058","Afghanistan","NAT","2020X034234",58,"2020X","034","234",2021-08-05,"0180"
"Russie, NAT, 2020X 035208, 034","Russie","NAT","2020X035208",34,"2020X","035","208",2021-08-05,"0180"
"Turquie, NAT, 2021X 002035, 057","Turquie","NAT","2021X002035",57,"2021X","002","035",2021-08-05,"0180"
"73000, EFF, 2020X 034503, 073","France","EFF","2020X034503",73,"2020X","034","503",2021-08-05,"0180"
"Sénégal, NAT, 2021X 000276, 067","Sénégal","NAT","2021X000276",67,"2021X","000","276",2021-08-05,"0180"
"67200, EFF, 2021X 000276, 067","France","EFF","2021X000276",67,"2021X","000","276",2021-08-05,"0180"
"Yémen, NAT, 2020X 022210, 094","Yémen","NAT","2020X022210",94,"2020X","022","210",2021-08-05,"0180"
"Argentine, NAT, 2021X  000224, 045","Argentine","NAT","2021X 000224",45,"2021X"," 00","022",2021-08-05,"0180"
"Roumanie, NAT, 2021X 304155, 019","Roumanie","NAT","2021X304155",19,"2021X","304","155",2021-08-05,"0180"
"Royaume-Uni, NAT, 2020X 034809,  049","Royaume-Uni","NAT","2020X034809",49,"2020X","034","809",2021-08-05,"0180"
"Arménie, NAT, 2021X 007198, 054","Arménie","NAT","2021X007198",54,"2021X","007","198",2021-08-05,"0180"
"Tunisie, NAT, 2021X 005752, 031","Tunisie","NAT","2021X005752",31,"2021X","005","752",2021-08-05,"0180"
"94400, EFF, 2021X 005617, 094","France","EFF","2021X005617",94,"2021X","005","617",2021-08-05,"0180"
"Maroc, NAT, 2021X 005617, 094","Maroc","NAT","2021X005617",94,"2021X","005","617",2021-08-05,"0180"
"Yémen du Nord, NAT, 2021X 005664, 094","Yémen du Nord","NAT","2021X005664",94,"2021X","005","664",2021-08-05,"0180"
"37200, EFF, 2021X 303793, 037","France","EFF","2021X303793",37,"2021X","303","793",2021-08-05,"0180"
"37200, EFF, 2021X 303793, 037","France","EFF","2021X303793",37,"2021X","303","793",2021-08-05,"0180"
"71100, EFF, 2020X 032213, 001","France","EFF","2020X032213",1,"2020X","032","213",2021-08-05,"0180"
"Syrie, EFF, 2021X 005361, 076","Syrie","EFF","2021X005361",76,"2021X","005","361",2021-08-05,"0180"
"76290, EFF, 2021X 005361, 076","France","EFF","2021X005361",76,"2021X","005","361",2021-08-05,"0180"
"76290, EFF, 2021X 005361, 076","France","EFF","2021X005361",76,"2021X","005","361",2021-08-05,"0180"
"Syrie, NAT, 2021X 005361, 076","Syrie","NAT","2021X005361",76,"2021X","005","361",2021-08-05,"0180"
"Bénin, NAT, 2021X 303907, 087","Bénin","NAT","2021X303907",87,"2021X","303","907",2021-08-05,"0180"
"Tunisie, NAT, 2020X 031556, 092","Tunisie","NAT","2020X031556",92,"2020X","031","556",2021-08-05,"0180"
