"","original","country","type","idREZE","department","apYear","apSerie","apID","date","journal","filename","processDate"
"1837","Roumanie, NAT, 2021X 004117, 031","Roumanie","NAT","2021X004117","031","2021","004","117","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1838","Canada, NAT, 2021X  003740, 075","Canada","NAT","2021X003740","075","2021","003","740","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1839","Bénin, NAT, 2021X 002030, 054","Bénin","NAT","2021X002030","054","2021","002","030","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1840","Côte d’Ivoire, NAT, 2021X 300962, 002","Côte d’Ivoire","NAT","2021X300962","002","2021","300","962","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1841","République Démocratique du Congo, NAT, 2020X 005951,  092","République Démocratique du Congo","NAT","2020X005951","092","2020","005","951","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1842","République Démocratique du Congo, NAT, 2020X 023544,  091","République Démocratique du Congo","NAT","2020X023544","091","2020","023","544","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1843","Etats-Unis, NAT, 2021X 002052, 075","Etats-Unis","NAT","2021X002052","075","2021","002","052","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1844","Gabon, NAT, 2020X 033666,  092","Gabon","NAT","2020X033666","092","2020","033","666","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1845","Maroc, NAT, 2020X 028636, 002","Maroc","NAT","2020X028636","002","2020","028","636","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1846","Pays-Bas, NAT, 2020X 030293,  086","Pays-Bas","NAT","2020X030293","086","2020","030","293","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1847","Algérie, NAT, 2020X 030134, 093","Algérie","NAT","2020X030134","093","2020","030","134","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1848","Algérie, NAT, 2021X 004232, 076","Algérie","NAT","2021X004232","076","2021","004","232","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1849","Algérie, NAT, 2020X 030848, 010","Algérie","NAT","2020X030848","010","2020","030","848","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1850","10110, EFF, 2020X 030848, 010","France","EFF","2020X030848","010","2020","030","848","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1851","10000, EFF, 2020X 030848, 010","France","EFF","2020X030848","010","2020","030","848","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1852","République Démocratique du Congo, NAT,  2021X 301009, 074","République Démocratique du Congo","NAT","2021X301009","074","2021","301","009","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1853","Syrie, NAT, 2021X 009618, 075","Syrie","NAT","2021X009618","075","2021","009","618","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1854","Liban, NAT, 2021X 302748, 067","Liban","NAT","2021X302748","067","2021","302","748","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1855","Liban, NAT, 2021X 004101, 075","Liban","NAT","2021X004101","075","2021","004","101","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1856","Algérie, NAT, 2021X 002061, 075","Algérie","NAT","2021X002061","075","2021","002","061","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1857","Maroc, NAT, 2021X 004069, 088","Maroc","NAT","2021X004069","088","2021","004","069","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1858","92160, EFF, 2020X 031780, 091","France","EFF","2020X031780","091","2020","031","780","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1859","Tunisie, NAT, 2020X 031780, 091","Tunisie","NAT","2020X031780","091","2020","031","780","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1860","Maroc, NAT, 2021X 303069, 034","Maroc","NAT","2021X303069","034","2021","303","069","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1861","Maroc, NAT, 2020X 027445, 014","Maroc","NAT","2020X027445","014","2020","027","445","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
